School_ID,State,Year,Subject,ISBN
2,VIC,8,HUMANITIES,9780730372776
2,VIC,8,LANGUAGES,9780170393720
2,VIC,8,RELIGIOUS EDUCATION,9781599829234
2,VIC,8,LANGUAGES,9780170417655
2,VIC,8,RELIGIOUS EDUCATION,9782021030907
3,VIC,8,ENGLISH,9780571056866
3,VIC,8,ENGLISH,9780802797797
3,VIC,8,COMPUTER SCIENCE,9780170411813
3,VIC,8,LANGUAGES,9780170393720
3,VIC,8,SCIENCE,9780730379195
5,VIC,8,SCIENCE,9781488615061
5,VIC,8,ENGLISH,9781742619910
5,VIC,8,FOOD TECHNOLOGY,9780730389422
5,VIC,8,LANGUAGES,9781876739072
5,VIC,8,MATHEMATICS,9780190308322
7,VIC,8,ENGLISH,9780763669881
7,VIC,8,ENGLISH,9780375842207
7,VIC,8,MATHEMATICS,9780730348559
10,VIC,8,ENGLISH,9781351715850
10,VIC,8,MUSIC,9781877011313
10,VIC,8,ENGLISH,9780375842207
10,VIC,8,LANGUAGES,9781876739485
10,VIC,8,LANGUAGES,9780198603276
10,VIC,8,SCIENCE,9780730348597
10,VIC,8,PDHPE,9780730362616
10,VIC,8,LANGUAGES,9780990552918
10,VIC,8,LANGUAGES,9780070162075
10,VIC,8,LANGUAGES,9781876739485
10,VIC,8,MATHEMATICS,9781108772716
10,VIC,8,HUMANITIES,9780730372776
10,VIC,8,LANGUAGES,9780170122696
6,VIC,8,ENGLISH,9781583335239
6,VIC,8,ENGLISH,9781458650498
6,VIC,8,ENGLISH,9780730382133
6,VIC,8,ENGLISH,9780141359410
6,VIC,8,MATHEMATICS,9781108772716
6,VIC,8,MATHEMATICS,9781108772853
6,VIC,8,SCIENCE,9780975835807
6,VIC,8,SCIENCE,9798708474995
6,VIC,8,ENGLISH,9780078024290
12,WA,8,LANGUAGES,9781488657139
13,NT,8,ENGLISH,9781488610400
18,VIC,8,ENGLISH,9780521719117
18,VIC,8,ENGLISH,9780099572862
18,VIC,8,MATHEMATICS,9781108772716
18,VIC,8,ENGLISH,9780195505375
27,ACT,8,SCIENCE,9781488615061
27,ACT,8,ENGLISH,9781107615496
27,ACT,8,ENGLISH,9780241952443
27,ACT,8,HISTORY,9781292362618
27,ACT,8,HISTORY,9781292362618
27,ACT,8,MATHEMATICS,9781107595903
28,SA,8,MUSIC,9780869470145
28,SA,8,LANGUAGES,9780007485505
28,SA,8,LANGUAGES,9780195553116
29,QLD,8,ENGLISH,9780190308674
29,QLD,8,LANGUAGES,9780170129657
37,NT,8,SCIENCE,9781488615061
37,NT,8,ENGLISH,9780439023481
37,NT,8,ENGLISH,9780190308698
37,NT,8,HUMANITIES,9780195590203
37,NT,8,MATHEMATICS,9781108772716
38,NSW,8,ENGLISH,9781481481960
38,NSW,8,ENGLISH,9780734419712
38,NSW,8,ENGLISH,9780199535064
38,NSW,8,ENGLISH,9781742372389
39,TAS,8,RELIGIOUS EDUCATION,9781599822211
39,TAS,8,LANGUAGES,9780170181396
40,NT,8,ENGLISH,9781925360707
40,NT,8,LANGUAGES,9781488657139
40,NT,8,ENGLISH,9780195528046
40,NT,8,ENGLISH,9780195528046
2,VIC,9,SCIENCE,9781488615078
2,VIC,9,ENGLISH,9781925485912
2,VIC,9,MUSIC,9780367030773
2,VIC,9,LANGUAGES,9780060787325
2,VIC,9,LANGUAGES,9781488617539
2,VIC,9,ENGLISH,9780190319342
2,VIC,9,HUMANITIES,9780730372776
2,VIC,9,LANGUAGES,9780170393720
2,VIC,9,RELIGIOUS EDUCATION,9781599829234
2,VIC,9,LANGUAGES,9780170129640
2,VIC,9,HUMANITIES,9798708474995
3,VIC,9,GEOGRAPHY,9780207199165
3,VIC,9,GEOGRAPHY,9780140189896
3,VIC,9,ENGLISH,9780170411820
4,VIC,9,ENGLISH,9780160443152
4,VIC,9,ENGLISH,9781408236864
4,VIC,9,LANGUAGES,9781876209759
4,VIC,9,ENGLISH,9780190311308
4,VIC,9,LANGUAGES,9781876209742
5,VIC,9,ENGLISH,9780143039976
5,VIC,9,ENGLISH,9781742619910
5,VIC,9,ENGLISH,9780006755234
5,VIC,9,SCIENCE,9781488615078
5,VIC,9,ENGLISH,9780141314570
5,VIC,9,ENGLISH,9780141314570
5,VIC,9,ENGLISH,9780763669881
5,VIC,9,ENGLISH,9780812550702
5,VIC,9,ENGLISH,9780141393056
5,VIC,9,LANGUAGES,9781876739485
7,VIC,9,ENGLISH LITERARY STUDIES,9780802825216
7,VIC,9,ENGLISH,9780141187761
7,VIC,9,ENGLISH,9789401705288
7,VIC,9,LANGUAGES,9780008141639
7,VIC,9,ENGLISH,9780063032538
7,VIC,9,MATHEMATICS,9780730353591
7,VIC,9,ENGLISH LITERARY STUDIES,9780190303488
7,VIC,9,LANGUAGES,9780190303488
10,VIC,9,MUSIC,9781548483128
10,VIC,9,ENGLISH,9780385486804
10,VIC,9,ENGLISH,9781586638443
10,VIC,9,ENGLISH,9780141439471
10,VIC,9,ENGLISH,9781405867719
10,VIC,9,ENGLISH,9781596682474
10,VIC,9,ENGLISH LITERARY STUDIES,9781107615595
10,VIC,9,ENGLISH,9781459660120
10,VIC,9,ENGLISH,9780141185354
10,VIC,9,ENGLISH,9780141182551
10,VIC,9,ENGLISH,9780141182551
10,VIC,9,ENGLISH,9780571191475
10,VIC,9,ENGLISH,9781909531192
10,VIC,9,ENGLISH,9780099549482
10,VIC,9,ENGLISH LITERARY STUDIES,9781594632747
10,VIC,9,ENGLISH LITERARY STUDIES,9780571322725
10,VIC,9,ENGLISH LITERARY STUDIES,9781926428581
10,VIC,9,ENGLISH,9781841156613
10,VIC,9,ENGLISH,9780618485222
10,VIC,9,ENGLISH,9781925778663
10,VIC,9,ENGLISH,9781925778083
10,VIC,9,ENGLISH,9780573040122
10,VIC,9,LANGUAGES,9780198603276
10,VIC,9,LANGUAGES,9780198603276
10,VIC,9,SCIENCE,9781316502648
10,VIC,9,ACCOUNTING,9781420239638
10,VIC,9,ACCOUNTING,9781420239645
10,VIC,9,LANGUAGES,9780008359850
10,VIC,9,SCIENCE,9780730386889
10,VIC,9,MUSIC,9780987052049
10,VIC,9,BUSINESS STUDIES,9780170385435
10,VIC,9,ENGLISH,9780688048389
10,VIC,9,LANGUAGES,9781925534702
10,VIC,9,BUSINESS STUDIES,9781921813610
10,VIC,9,PDHPE,9780070318670
10,VIC,9,ENGLISH,9781925778311
10,VIC,9,HISTORY,9781875585038
10,VIC,9,HISTORY,9781875585021
10,VIC,9,LANGUAGES,9787301171134
10,VIC,9,ENGLISH,9787513503365
10,VIC,9,ENGLISH,9787513503365
10,VIC,9,MATHEMATICS,9781108772907
10,VIC,9,BUSINESS STUDIES,9781108705592
10,VIC,9,BUSINESS STUDIES,9781108735438
10,VIC,9,MEDIA,9781488619489
